Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1961","1961","ha","31511","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1962","1962","ha","28454","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1963","1963","ha","30443","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1964","1964","ha","31164","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1965","1965","ha","33550","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1966","1966","ha","41175","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1967","1967","ha","41760","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1968","1968","ha","34741","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1969","1969","ha","29587","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1970","1970","ha","25044","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1971","1971","ha","23693","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1972","1972","ha","19829","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1973","1973","ha","17888","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1974","1974","ha","16298","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1975","1975","ha","23732","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1976","1976","ha","48500","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1977","1977","ha","93603","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1978","1978","ha","89423","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1979","1979","ha","84691","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1980","1980","ha","72048","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1981","1981","ha","95624","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1982","1982","ha","166882","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1983","1983","ha","120981","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1984","1984","ha","73193","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1985","1985","ha","110308","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1986","1986","ha","102935","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","44","Barley","1987","1987","ha","101655","","Official data"
