sexo,idade,altura,peso,horas_estudo,media_ponderada,futuro
M,23,1.75,80,2,7.5,academico
F,19,1.67,65,2,8.3,mercado
M,19,1.7,90,3,6.9,mercado
M,22,1.73,87,3,7.1,academico
M,19,1.83,71,2,6.5,mercado
M,19,1.8,80,3,8.6,mercado
M,20,1.9,90,2,7.8,academico
F,20,1.6,55,1,8,mercado
F,24,1.62,55,2,8.2,academico
F,18,1.64,60,2,7.3,mercado
M,19,1.74,88,2,8.1,mercado
F,19,1.74,60,3,8.2,mercado
F,20,1.74,68,3,8.6,academico
M,19,1.73,64,3,7.5,mercado
M,24,1.83,110,3,6.5,mercado
F,19,1.65,85,3,8.4,academico
M,22,1.8,60,3,6.9,academico
F,20,1.54,53,3,7.2,mercado
M,22,1.84,90,2,7.4,mercado
M,20,1.7,55,2,8.7,mercado
M,19,1.79,88,3,7,mercado
M,28,1.85,88,2,6,mercado
F,21,1.7,70,2,7,mercado
F,24,1.63,60,2,7.9,mercado
M,24,1.74,78,3,7.9,academico
F,19,1.64,53,2,8,mercado
M,20,1.67,66,2,7.3,mercado
M,24,1.74,98,2,7.3,academico
F,20,1.59,53,2,8.4,mercado
F,22,1.51,48,2,6.7,academico
F,21,1.64,70,2,7.6,mercado
M,19,1.64,93,3,8.2,mercado
M,26,1.62,78,2,6.1,mercado
F,19,1.64,58,3,7,academico
M,21,1.75,62,2,5,mercado
M,20,1.7,52,3,6.9,mercado
M,18,1.83,81,2,6.8,mercado
F,24,1.58,45,4,7.2,mercado
M,19,1.76,78,3,7.5,mercado
F,19,1.68,55,4,8.7,academico
F,22,1.55,49,4,7.4,mercado
M,21,1.8,60,3,8,mercado
F,20,1.6,54.5,2,7.2,mercado
M,18,1.81,85,2,7.1,mercado
F,19,1.63,54,2,8.2,mercado
M,21,1.75,80,2,7.2,academico
M,20,1.83,78,3,7.7,mercado
M,21,1.73,85,2,6.5,mercado
F,21,1.68,55,4,6.6,academico
F,22,1.74,63,2,7.5,mercado
M,19,1.75,71,2,7.9,mercado
M,29,1.76,100,4,6.8,mercado
M,21,1.82,110,2,7.6,academico
F,21,1.72,58,4,7.9,mercado
M,19,1.8,77,3,7.1,mercado
M,20,1.78,70,2,7.2,mercado
M,20,1.79,78,2,6.5,mercado
M,20,1.67,68,3,8.1,academico
M,27,1.84,67,4,8,mercado
M,21,1.82,82,3,7.2,academico
F,20,1.65,60,3,7.4,mercado
F,27,1.72,67,2,7.1,mercado
M,20,1.83,81,2,8.1,mercado
F,20,1.62,50,2,6.7,mercado
